station_id,name,capacity,lat,lon
2,002 - Retiro I,19,-34.5924233,-58.3747151
3,003 - ADUANA,20,-34.611032,-58.3682604
4,004 - Plaza Roma,20,-34.6017255,-58.3687628
5,005 - Plaza Italia,42,-34.5805497,-58.4209542
6,006 - Parque Lezama,20,-34.628526,-58.369758
7,007 - OBELISCO,16,-34.606498,-58.381098
8,008 - Congreso,24,-34.6094218,-58.3893364
9,009 - Parque Las Heras,24,-34.585443,-58.407741
11,011 - Tribunales,20,-34.6011762,-58.3850791
12,012 - Plaza Vicente Lopez,16,-34.5927096,-58.388807
13,013 - ONCE,30,-34.61009,-58.406
14,014 - Pacifico,30,-34.577424,-58.426387
15,015 - JUANA MANSO II,20,-34.6004,-58.3636706
17,017 - Plaza Almagro,20,-34.6064101,-58.4187306
19,019 - PLAZA SAN MARTIN,24,-34.5956027,-58.3776353
20,020 - Distrito Audiovisual,20,-34.5798619,-58.4417756
22,022 - Arenales,20,-34.5938629,-58.3825498
23,023 - Suipacha,12,-34.600139,-58.379836
24,024 - ALSINA,18,-34.610583,-58.3808943
25,025 - Plaza Guemes,24,-34.5894269,-58.4161178
26,026 - JUANA MANSO I,24,-34.600752,-58.3638723
27,027 - Montevideo,16,-34.599068,-58.3900887
28,028 - Plaza Boedo,20,-34.6231273,-58.4127377
29,029 - Parque Centenario,30,-34.6079414,-58.4335573
30,030 - Peña,20,-34.5908211,-58.3973698
31,031 - Padilla,20,-34.6032081,-58.4396457
32,032 - Catedral,16,-34.6072074,-58.3735984
33,033 - Facultad de Medicina,20,-34.5970909,-58.3989807
35,035 - INGENIERO BUTTY,29,-34.5964246,-58.371847
36,036 - MAIPÚ,16,-34.6045481,-58.3767677
38,038 - Plaza Libertad,20,-34.5970497,-58.3828403
39,039 - CONGRESO II,20,-34.6092213,-58.3876925
40,040 - Sarmiento,16,-34.604461,-58.373499
41,041 - Urquiza y Rondeau,20,-34.6364511,-58.4076348
42,042 - Diagonal Norte,24,-34.604447,-58.38003248
43,334 - CENTRO DE EXPOSICIONES,16,-34.583918,-58.3900194
44,044 - Ecoparque,20,-34.5755148,-58.4138829
45,045 - Uruguay,20,-34.6018635,-58.3866934
46,046 - Chile,18,-34.6163012,-58.3743749
47,047 - Colegio Nacional de Buenos Aires,16,-34.6117408,-58.3733149
48,034 - Colonia Express,16,-34.623937,-58.362004
49,049 - 33 Orientales,20,-34.6290527,-58.422611
50,050 - Hospital Rivadavia,20,-34.5837348,-58.4010798
51,051 - TUCUMAN,12,-34.6014776,-58.3821261
52,052 - SANCHEZ DE BUSTAMANTE,20,-34.606682,-58.414851
53,053 - Ricardo Rojas,20,-34.5952579,-58.3743514
